Original,Obfuscated,Label
movie,m°v!€,Obfuscated
movie,m0v!€,Obfuscated
movie,movie,Non-obfuscated
movie,moVIe,Obfuscated
movie,mOvIe,Obfuscated
movie,m°v!€,Obfuscated
movie,movie,Non-obfuscated
movie,m0v13,Obfuscated
movie,movie,Non-obfuscated
movie,M°V!3,Obfuscated
movie,movIe~,Obfuscated
movie,M°v1_3,Obfuscated
movie,Mov~Ie~,Obfuscated
movie,m°*v13-,Obfuscated
movie,m°v1€,Obfuscated
movie,m°v!€,Obfuscated
movie,movie,Non-obfuscated
movie,m0v1~3,Obfuscated
movie,movie,Non-obfuscated
movie,MOVIE,Obfuscated
movie,m0V13,Obfuscated
movie,MoVIe,Obfuscated
movie,m-ovi*e,Obfuscated
movie,m0v-!€,Obfuscated
movie,movie,Non-obfuscated
movie,m°~v13,Obfuscated
movie,M0V13,Obfuscated
movie,m0V*!3,Obfuscated
movie,m°v!€,Obfuscated
movie,m0v1€,Obfuscated
movie,movie,Non-obfuscated
movie,M0V!3,Obfuscated
movie,m~0V!~3,Obfuscated
movie,m°V!_3~,Obfuscated
movie,mo_V_IE,Obfuscated
movie,m0v13,Obfuscated
movie,m°v!3,Obfuscated
movie,M°V13,Obfuscated
movie,m0v13,Obfuscated
movie,m°v!3,Obfuscated
movie,m°v!3,Obfuscated
movie,movi*e,Obfuscated
movie,m0v13,Obfuscated
movie,mov-i-e,Obfuscated
movie,movie,Non-obfuscated
movie,MovIe,Obfuscated
movie,m°V!€,Obfuscated
movie,movie,Non-obfuscated
movie,movie,Non-obfuscated
movie,M°v13,Obfuscated
movie,M°v1€,Obfuscated
movie,m°v!3,Obfuscated
movie,MO-vIE_,Obfuscated
movie,m°v!3,Obfuscated
movie,movie,Non-obfuscated
movie,MOViE,Obfuscated
movie,M°V!3,Obfuscated
movie,m0v!3,Obfuscated
movie,movie,Non-obfuscated
movie,m°V!€,Obfuscated
movie,m°v!€,Obfuscated
movie,movie,Non-obfuscated
movie,MOVIE,Obfuscated
movie,m0v!3,Obfuscated
movie,m0v13,Obfuscated
movie,MoVIe,Obfuscated
movie,m°v13,Obfuscated
movie,mOVie,Obfuscated
movie,m-0v1€,Obfuscated
movie,Mo*ViE-,Obfuscated
movie,movie,Non-obfuscated
movie,m0v!€,Obfuscated
movie,mo*vie,Obfuscated
movie,m0v!€,Obfuscated
movie,mOVie,Obfuscated
movie,movie,Non-obfuscated
movie,moViE,Obfuscated
movie,m0v13,Obfuscated
movie,m0v!€,Obfuscated
movie,m0v1€,Obfuscated
movie,m°v!€,Obfuscated
movie,M0v1€,Obfuscated
movie,M-°v!_€,Obfuscated
movie,movie,Non-obfuscated
movie,movie,Non-obfuscated
movie,m0v!3,Obfuscated
movie,M°v_!3,Obfuscated
movie,m0v!€,Obfuscated
movie,m°~v13,Obfuscated
movie,m0v1€,Obfuscated
movie,movie,Non-obfuscated
movie,movie,Non-obfuscated
movie,m0v!3,Obfuscated
movie,moViE,Obfuscated
movie,m°v1*3,Obfuscated
movie,M0*v*13,Obfuscated
movie,M°V!3,Obfuscated
movie,mo_vi~e,Obfuscated
movie,movie,Non-obfuscated
movie,m_OviE,Obfuscated
movie,moViE,Obfuscated
movie,movie,Non-obfuscated
movie,m°V!3,Obfuscated
movie,mov*ie,Obfuscated
movie,mov*i_e,Obfuscated
movie,m0v!3,Obfuscated
movie,movi_e,Obfuscated
movie,MOvI_E,Obfuscated
movie,m0v13,Obfuscated
movie,m°v13,Obfuscated
movie,mo-v_i*e,Obfuscated
movie,m0v1€,Obfuscated
movie,m0v!3,Obfuscated
movie,M°V13,Obfuscated
movie,MovIE,Obfuscated
movie,M°v1€,Obfuscated
movie,m0v_!€_,Obfuscated
movie,m0v!€,Obfuscated
movie,m°v!-€,Obfuscated
movie,m-°v!*3,Obfuscated
movie,movie-,Obfuscated
movie,M°v!3,Obfuscated
movie,mOViE,Obfuscated
movie,MOvIe,Obfuscated
movie,M0v1_€,Obfuscated
movie,m0v1_3,Obfuscated
movie,mOVi~e,Obfuscated
movie,m°v!€,Obfuscated
movie,m0v13,Obfuscated
movie,MoviE,Obfuscated
movie,mOVI-E,Obfuscated
movie,m0V13,Obfuscated
movie,mo-V*IE,Obfuscated
movie,moVIE,Obfuscated
movie,movie,Non-obfuscated
movie,m°v!~€,Obfuscated
movie,m0v!€,Obfuscated
movie,mOviE,Obfuscated
movie,mOVIE,Obfuscated
movie,m°v*13,Obfuscated
movie,movie,Non-obfuscated
movie,m_°v1~3,Obfuscated
movie,m0v!3,Obfuscated
movie,m°v!€,Obfuscated
movie,movie,Non-obfuscated
movie,m0v1€,Obfuscated
